||=== Build: Robi_Debug in piMASS (compiler: GNU GCC Compiler) ===|
/home/pi/Desktop/piMASS/piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘void* gpcLZY::pVALID(gpcLZY*, void*)’:|
/home/pi/Desktop/piMASS/piMASS.h|4528|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzySUB(U8&, U8)’:|
/home/pi/Desktop/piMASS/piMASS.h|4554|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4595|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp_rand(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4588|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4583|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyINS(const U1*, U8, U8&, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4682|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcZS& gpcZS::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|71|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcDrc& gpcDrc::format(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|125|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcZSnD* gpcZSnD::format()’:|
/home/pi/Desktop/piMASS/gpcgt.h|294|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcZSnD* gpcZSnD::reset(U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|311|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcgt.h|309|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘bool gpcZSnD::bWAIT()’:|
/home/pi/Desktop/piMASS/gpcgt.h|334|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘U2* gpcZSnD::pZSioU2()’:|
/home/pi/Desktop/piMASS/gpcgt.h|370|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘U2* gpcZSnD::pU2inp()’:|
/home/pi/Desktop/piMASS/gpcgt.h|402|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘size_t gpcSLMP::nEND()’:|
/home/pi/Desktop/piMASS/gpcgt.h|466|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘bool gpcGT::bGTdie()’:|
/home/pi/Desktop/piMASS/gpcgt.h|667|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘bool gpcGT::GTprmpt(bool)’:|
/home/pi/Desktop/piMASS/gpcgt.h|681|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcLZY* gpcGT::GTback()’:|
/home/pi/Desktop/piMASS/gpcgt.h|690|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcGTslmp.cpp||In member function ‘gpcLZY* gpcGT::GTslmpOS(gpcLZY*, U1*, gpcMASS&, SOCKET)’:|
/home/pi/Desktop/piMASS/gpcGTslmp.cpp|426|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcGTslmp.cpp||In member function ‘gpcLZY* gpcGT::GTslmpOSref(gpcLZY*, U1*, gpcMASS&, SOCKET)’:|
/home/pi/Desktop/piMASS/gpcGTslmp.cpp|877|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
./piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::lzyFRMT(U8&, const char*, ...)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|11|warning: unused variable ‘s’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::lzyHEXb(U8&, U1*, U4)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|54|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|42|warning: unused variable ‘pADDR’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::lzyHEXw(U8&, U1*, U4)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|103|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|91|warning: unused variable ‘pADDR’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::lzyHEXl(U8&, U1*, U4)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|151|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|139|warning: unused variable ‘pADDR’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::tree_add(I8, I8&)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|276|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|1714|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U8x4& U8x4::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|1941|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘I8x4& I8x4::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|3442|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4396|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::lzyHEXb(U8&, U1*, U4)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|29|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::lzyHEXw(U8&, U1*, U4)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|78|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::lzyHEXl(U8&, U1*, U4)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|126|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘U4 gpcLZY::tree_fnd(U4, U4&)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|171|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::tree_add(U4, U4&)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|186|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘U8 gpcLZY::tree_fnd(U8, U8&)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|209|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::tree_add(U8, U8&)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|224|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘I8 gpcLZY::tree_fnd(I8, I8&)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|247|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcLAZY.cpp||In member function ‘gpcLZY* gpcLZY::tree_add(I8, I8&)’:|
/home/pi/Desktop/piMASS/gpcLAZY.cpp|262|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
./piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
./piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
./piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
./piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
./piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
./piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
./piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
./piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
./piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
/home/pi/Desktop/piMASS/gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
/home/pi/Desktop/piMASS/gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h|662|note: in expansion of macro ‘min’|
/home/pi/Desktop/piMASS/gpcOPCD.cpp||In member function ‘char* gpcCMPL::sLOG(U1*, char*, char*, gpcLZY*)’:|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|130|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|130|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|137|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|137|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|145|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|145|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|177|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|177|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|177|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|177|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|188|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|188|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|188|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|188|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|202|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|202|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|202|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|202|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|210|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|210|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|210|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|210|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp||In member function ‘char* gpcCMPL::sASM(U1*, U1*, char*, gpcLZY*, gpcCMPL*, gpcCMPL*)’:|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|227|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘U8 {aka long long unsigned int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|230|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|239|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|246|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘U8 {aka long long unsigned int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|249|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|260|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|260|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|260|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|260|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp||In member function ‘I1 gpcCMPL::sDST(U1*, U4, char*, char*, char*)’:|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|395|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|395|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|395|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|395|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|395|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp||In member function ‘gpcCMPL* gpcLZY::pPC(U4, U1*)’:|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|404|warning: variable ‘pS’ set but not used [-Wunused-but-set-variable]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp||In member function ‘gpcCMPL* gpcCMPL::sKIDlst(U1*, U1*, gpcLZY*, char)’:|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|501|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpcOPCD.cpp|501|warning: '0' flag ignored with precision and ‘%d’ gnu_printf format [-Wformat=]|
